group_id	parent_theme	parent_group
763611	395444	\N
763612	395444	\N
763613	395444	\N
763614	395444	\N
763615	395444	\N
763616	395444	\N
763617	395444	\N
763618	395444	\N
763619	395444	\N
763620	395444	\N
763621	395444	\N
763622	395444	\N
763623	395444	\N
763624	395444	\N
763625	395444	\N
763626	395444	\N
763627	395444	\N
763628	395444	\N
763629	395444	\N
763630	395444	\N
763631	395444	\N
763632	395444	\N
763633	395444	\N
763634	395444	\N
763635	395444	\N
763636	395444	\N
763637	395444	\N
763638	395444	\N
763639	395444	\N
763640	395444	\N
763641	395444	\N
763642	395444	\N
763643	395444	\N
763644	395444	\N
763645	395444	\N
763646	395444	\N
763647	395444	\N
763648	395444	\N
763649	395444	\N
763650	395444	\N
763651	395444	\N
763652	395444	\N
763653	395444	\N
763654	395444	\N
763655	395444	\N
763656	395444	\N
763657	395444	\N
763658	395444	\N
763659	395444	\N
763660	395444	\N
763661	395444	\N
763662	395444	\N
763663	395444	\N
763664	395444	\N
763665	395439	\N
763666	395439	\N
763667	395439	\N
763668	395439	\N
763669	395439	\N
763670	395439	\N
763671	395439	\N
763672	395439	\N
763673	395439	\N
763674	395439	\N
763675	395439	\N
763676	395439	\N
763677	395446	\N
763678	395446	\N
763679	395446	\N
763680	395446	\N
763681	395446	\N
763682	395446	\N
763683	395446	\N
763684	395446	\N
763685	395446	\N
763686	395446	\N
763687	395446	\N
763688	395446	\N
763689	395446	\N
763690	395447	\N
763691	395447	\N
763692	395447	\N
763693	395447	\N
763694	395447	\N
763695	395447	\N
763696	395447	\N
763697	395447	\N
763698	395447	\N
763699	395447	\N
763700	395447	\N
763701	395447	\N
763702	395447	\N
763703	395447	\N
763704	395447	\N
763705	395447	\N
763706	395447	\N
763707	395447	\N
763708	395447	\N
763709	395447	\N
763710	395447	\N
763711	395447	\N
763712	395447	\N
763713	395447	\N
763714	395447	\N
763715	395447	\N
763716	395447	\N
763717	395447	\N
763718	395447	\N
763719	395447	\N
763720	395447	\N
763721	395447	\N
763722	395447	\N
763723	395447	\N
763724	395447	\N
763725	395447	\N
763726	395447	\N
763727	395447	\N
763728	395447	\N
763729	395447	\N
763730	395447	\N
763731	395447	\N
763732	395448	\N
763733	395448	\N
763734	395448	\N
763735	395448	\N
763736	395448	\N
763737	395448	\N
763738	395448	\N
763739	395448	\N
763740	395448	\N
763741	395448	\N
763742	395448	\N
763743	395448	\N
763744	395448	\N
763745	395448	\N
763746	395448	\N
763747	395448	\N
763748	395448	\N
763749	395448	\N
763750	395448	\N
763751	395448	\N
763752	395448	\N
763753	395448	\N
763754	395448	\N
763755	395448	\N
763756	395448	\N
763757	395448	\N
763758	395448	\N
763759	395448	\N
763760	395448	\N
763761	395448	\N
763762	395448	\N
763763	395438	\N
763764	395438	\N
763765	395438	\N
763766	395438	\N
763767	395438	\N
763768	395438	\N
763769	395438	\N
763770	395438	\N
763771	395438	\N
763772	395438	\N
763773	395438	\N
763774	395438	\N
763775	395438	\N
763776	395438	\N
763777	395438	\N
763778	395438	\N
763779	395438	\N
763780	395438	\N
763781	395438	\N
763782	395456	\N
763783	395450	\N
763784	395450	\N
763785	395450	\N
763786	395450	\N
763787	395451	\N
763788	395456	\N
763789	395455	\N
763790	395455	\N
763791	395455	\N
763792	395455	\N
763793	395455	\N
763794	395455	\N
763795	395455	\N
763796	395455	\N
763797	395455	\N
763798	395455	\N
763799	395455	\N
763800	395455	\N
763801	395455	\N
763802	395455	\N
763803	395455	\N
763804	395456	\N
763805	395447	\N
763806	395444	\N
763807	395465	\N
763808	395465	\N
763809	395465	\N
763810	395465	\N
763811	395465	\N
763812	395447	\N
763813	395465	\N
763814	395465	\N
763815	395465	\N
763816	395465	\N
763817	395465	\N
763818	395465	\N
763819	395465	\N
763820	395465	\N
763821	395465	\N
763822	\N	763294
763823	\N	763549
763824	\N	763549
763825	\N	763225
763826	\N	763243
763827	\N	763243
763828	\N	763243
763829	\N	763225
763830	\N	763225
763831	\N	763243
763832	\N	763552
763833	\N	763294
763834	\N	763294
763835	\N	763294
763836	\N	763294
763837	\N	763295
763838	\N	763297
763839	\N	763295
763840	\N	763552
763841	\N	763294
763842	\N	763297
763843	\N	763298
763844	\N	763299
763845	\N	763299
763846	\N	763299
763847	\N	763299
763848	\N	763299
763849	\N	763299
763850	\N	763299
763851	\N	763299
763852	\N	763299
763853	\N	763299
763854	\N	763299
763855	\N	763292
763856	\N	763292
763857	\N	763292
763858	\N	763298
763859	\N	763298
763860	\N	763298
763861	\N	763298
763862	\N	763298
763863	\N	763298
763864	\N	763504
763865	\N	763504
763866	\N	763504
763867	\N	763504
763868	\N	763504
763869	\N	763291
763870	\N	763356
763871	\N	\N
763872	\N	763585
763873	\N	763585
763874	\N	763585
763875	\N	763585
763876	\N	763585
763877	\N	763585
763878	\N	763585
763879	\N	763585
763880	\N	763585
763881	\N	763587
763882	\N	763587
763883	\N	763587
763884	\N	763587
763885	\N	763587
763886	\N	763587
763887	\N	763587
763888	\N	763587
763889	\N	763587
763890	\N	763587
763891	\N	763586
763892	\N	763586
763893	\N	763586
763894	\N	763586
763895	\N	763586
763896	\N	763586
763897	\N	763586
763898	\N	763586
763899	\N	763586
763900	\N	763586
763901	\N	763586
763902	\N	763586
763903	\N	763585
763904	\N	763586
763905	\N	763595
763906	\N	763517
763907	\N	763587
763908	\N	763587
763909	\N	763509
763910	\N	763378
763911	\N	763296
763912	\N	763296
763913	\N	763296
763914	\N	763296
763915	\N	763296
763916	\N	763296
763917	\N	763296
763918	\N	763296
763919	\N	763296
763920	\N	763537
763921	\N	763552
763922	\N	763595
763923	\N	763621
763924	\N	763549
763925	\N	763536
763926	\N	763531
763927	\N	763665
763928	\N	763300
763929	\N	763300
763930	\N	763300
763931	\N	763300
763932	\N	763300
763933	\N	763300
763934	\N	763300
763935	\N	763300
763936	\N	763300
763937	\N	763300
763938	\N	763300
763939	\N	763300
763940	\N	763300
763941	\N	763531
763942	\N	763565
763943	\N	763356
763944	\N	763291
763945	\N	763243
763946	\N	763356
763947	\N	763356
763948	\N	763243
763949	\N	763667
763950	\N	763245
763951	\N	763245
763952	\N	763533
763953	\N	763596
763954	\N	764168
763955	\N	764168
763956	\N	763596
763957	\N	763576
763958	\N	763507
763959	\N	763507
763960	\N	763573
763961	\N	763573
763962	\N	763573
763963	\N	763573
763964	\N	763573
763965	\N	763573
763966	\N	763573
763967	\N	763573
763968	\N	763286
763969	\N	763286
763970	\N	763286
763971	\N	763286
763972	\N	763286
763973	\N	763286
763974	\N	763286
763975	\N	763287
763976	\N	763287
763977	\N	763287
763978	\N	763385
763979	\N	763385
763980	\N	763385
763981	\N	763385
763982	\N	763385
763983	\N	763289
763984	\N	763289
763985	\N	763289
763986	\N	763289
